2026-02-13 11:52:45,271 - ERROR - Erro 500 no projeto a70d583a-fe42-44f1-8637-1ab219889a70
2026-02-13 11:53:46,645 - ERROR - Erro 500 no projeto d71f7fad-3824-411b-9747-35cdb603747e
2026-04-02 10:11:02,400 - ERROR - Erro 500 no projeto e87345f1-cd99-4071-a2e9-74ad1eb36787
2026-04-02 10:11:06,532 - ERROR - Erro 500 no projeto ad90c00e-f42d-4417-b3ee-eba9b77c326a
2026-04-02 10:11:37,041 - ERROR - Erro de requisição para o projeto 43cd2f4b-7147-458d-be96-863ad3d35a00: HTTPSConnectionPool(host='api.sif-source.org', port=443): Read timed out. (read timeout=30)
2026-04-02 10:11:41,876 - ERROR - Erro 500 no projeto d842d6bf-2fd8-4d13-812b-055879f0c7d5

==================================================
Início da execução PROJECT INFO: 2026-04-02 10:13:01
Total de requisições: 278
Threads simultâneas: 15
2026-04-02 10:13:36 - GUID: e3d6e773-cad7-4971-a6e4-96ac9dcf4ecf - SUCESSO
2026-04-02 10:13:37 - GUID: 01fb8247-91ec-4631-bf1f-3da9fa6822d6 - SUCESSO
2026-04-02 10:13:37 - GUID: f9a33179-1540-4b88-8282-837a0e2bdb4b - SUCESSO
2026-04-02 10:13:37 - GUID: 5b502d2f-fdc4-47ff-82ce-1787fa991606 - SUCESSO
2026-04-02 10:13:38 - GUID: 4fbd5c3c-ee58-479f-93fc-76d97b7f110b - SUCESSO
2026-04-02 10:13:38 - GUID: 9261c511-63fa-40f2-a53b-3fa5bf650eab - SUCESSO
2026-04-02 10:13:38 - GUID: 3c254b01-3cf2-4e08-b2c3-5b6efa81dfcd - FALHA
2026-04-02 10:13:39 - GUID: a220456c-90b6-4d8a-978b-483eee414286 - SUCESSO
2026-04-02 10:13:40 - GUID: 59ea1432-1bd8-4574-870e-5b183a174340 - SUCESSO
2026-04-02 10:13:40 - GUID: 95ba3705-8488-460a-a02a-7f408dba33a3 - SUCESSO
2026-04-02 10:13:40 - GUID: 356a7e5a-8811-4628-aeb4-b751a7761be7 - SUCESSO
2026-04-02 10:13:40 - GUID: 8183481c-c908-4fb7-8505-dbd3e78230c1 - SUCESSO
2026-04-02 10:13:41 - GUID: 4ec9c8f4-6447-4d18-ac99-ff137740a60c - SUCESSO
2026-04-02 10:13:41 - GUID: 2387ccba-3bff-487a-ab3e-8899b9ddeec8 - SUCESSO
2026-04-02 10:13:42 - GUID: 858076ed-4fba-44fc-8b6d-055c2a8011cd - SUCESSO
2026-04-02 10:13:42 - GUID: 30669a87-2299-40d5-8d0a-3dbc127720e1 - SUCESSO
2026-04-02 10:13:42 - GUID: 14f610c7-8be2-4beb-859f-72b12789ca18 - SUCESSO
2026-04-02 10:13:42 - GUID: 341f3ca1-a7fd-477d-ba94-3f713703993e - SUCESSO
2026-04-02 10:13:42 - GUID: 135c99df-15e3-4cc0-9c7c-0f12e005ffd0 - SUCESSO
2026-04-02 10:13:42 - GUID: 758a265e-9adc-482b-a14a-f1a3bd882087 - SUCESSO
2026-04-02 10:13:42 - GUID: 42db8048-3b50-4172-a556-3256e96f74de - SUCESSO
2026-04-02 10:13:42 - GUID: f6f5ce90-f129-42fa-8e83-c3eb2892a435 - SUCESSO
2026-04-02 10:13:42 - GUID: 47f8bb42-bbe9-4f12-822d-713277736d71 - SUCESSO
2026-04-02 10:13:42 - GUID: 714677e9-777b-42d2-99a1-a25823a6c556 - SUCESSO
2026-04-02 10:13:42 - GUID: 2a398bd6-632a-4497-8abb-b0f578dbfd08 - SUCESSO
2026-04-02 10:13:42 - GUID: d38bc739-d6df-4cf4-89b8-3cc4c349be29 - SUCESSO
2026-04-02 10:13:42 - GUID: 1342b712-b3b0-4f59-aa76-aa29f094f861 - SUCESSO
2026-04-02 10:13:42 - GUID: 24a702fd-12e4-4b5e-924e-38f52b3fb788 - SUCESSO
2026-04-02 10:13:43 - GUID: 38993bb2-4e2e-43f7-a176-5b300ea0a8a7 - SUCESSO
2026-04-02 10:13:43 - GUID: 218fbb22-0e18-43df-bf17-5450bdd3c0dc - SUCESSO
2026-04-02 10:13:43 - GUID: 03175202-1983-4ce9-9425-f8271bf2e138 - SUCESSO
2026-04-02 10:13:43 - GUID: d9a3e730-68e0-4064-b6f0-437ccb2bd32a - SUCESSO
2026-04-02 10:13:43 - GUID: d5b67959-aa00-4ac7-97bd-b0d3c01ace0b - SUCESSO
2026-04-02 10:13:43 - GUID: ee900869-0557-47a0-8fb4-cfe20c03b738 - SUCESSO
2026-04-02 10:13:43 - GUID: b17b954e-52d0-4f06-8865-4f18855bac72 - SUCESSO
2026-04-02 10:13:43 - GUID: 9fd6f3dc-03f7-49df-b7f7-b5574d34b848 - SUCESSO
2026-04-02 10:13:43 - GUID: 18765dc4-59f6-4045-9a46-e6afc2d5eb1c - SUCESSO
2026-04-02 10:13:43 - GUID: 5bab5aaf-029c-4f53-aeb9-dd613c18341e - SUCESSO
2026-04-02 10:13:43 - GUID: 734bc6af-77a2-4447-a967-ce5143be0e6c - SUCESSO
2026-04-02 10:13:43 - GUID: 96f67bdb-0e8c-4e40-ae00-cf717da5e633 - SUCESSO
2026-04-02 10:13:43 - GUID: 956ec97e-db52-4ce3-8af9-6a602bb16fdc - SUCESSO
2026-04-02 10:13:43 - GUID: 4211d891-42fc-4146-8380-ffb95a60eb7e - SUCESSO
2026-04-02 10:13:43 - GUID: 9e65bed1-a689-4502-be7a-d9478e64cc21 - SUCESSO
2026-04-02 10:13:44 - GUID: 98f1c849-bd13-454b-b956-4940de5ae1c3 - SUCESSO
2026-04-02 10:13:44 - GUID: 18aa7747-5c68-4d1d-9ffb-8883b23ac5f5 - SUCESSO
2026-04-02 10:13:44 - GUID: 705bc6a1-682d-44ad-bfd2-3a8260687487 - SUCESSO
2026-04-02 10:13:44 - GUID: 191a04ea-53d0-48ae-a139-b4b94bc569f1 - SUCESSO
2026-04-02 10:13:44 - GUID: 79492aeb-d11c-45a1-b3a2-e3389076841c - SUCESSO
2026-04-02 10:13:44 - GUID: 8320414a-6b8f-40c5-b3d6-c6240c948458 - SUCESSO
2026-04-02 10:13:44 - GUID: 8467bf36-e121-463f-b997-0a39002e6498 - SUCESSO
2026-04-02 10:13:44 - GUID: d98588a1-06ee-4424-998a-47280cfdcb17 - SUCESSO
2026-04-02 10:13:44 - GUID: e2f2d536-8b26-4c34-ba6d-0d4e8993af3e - SUCESSO
2026-04-02 10:13:44 - GUID: 229a579a-bfc2-41e0-aa23-e95744f505a3 - SUCESSO
2026-04-02 10:13:44 - GUID: a6bbd1ae-29cd-4fcb-9408-e1f3f99a6c60 - SUCESSO
2026-04-02 10:13:45 - GUID: a5214585-f845-4ba6-9f27-3cf061a17511 - SUCESSO
2026-04-02 10:13:45 - GUID: ca7244e0-1896-448f-93ae-08dd28ef4fa1 - SUCESSO
2026-04-02 10:13:45 - GUID: 89af9448-d5b3-466a-b9ec-1660fd99dffb - SUCESSO
2026-04-02 10:13:45 - GUID: 980f56b8-ee2a-4357-9039-d04f62fb0fb7 - SUCESSO
2026-04-02 10:13:46 - GUID: 6bc82e39-143a-417c-90fa-23b31dbb7bdb - SUCESSO
2026-04-02 10:13:48 - GUID: cd14049b-650b-4ebb-ba2e-b1f85574c602 - SUCESSO
2026-04-02 10:13:48 - GUID: 4a6169ec-387d-48e7-a14a-451e59b97f31 - SUCESSO
2026-04-02 10:13:49 - GUID: 4a9e98e6-ec2e-4131-bd7f-e25a3530c678 - SUCESSO
2026-04-02 10:13:50 - GUID: 97d471b7-9648-49ab-ac1f-ea1710e084fe - SUCESSO
2026-04-02 10:13:50 - GUID: 9010ae8c-9060-43b2-8c93-7ef86e02b192 - SUCESSO
2026-04-02 10:13:50 - GUID: 6e5a93b6-154f-4c26-8a0d-1736a7795980 - SUCESSO
2026-04-02 10:13:50 - GUID: d5dd73b3-ddbb-4ece-a8e9-24c7a08cc5c1 - SUCESSO
2026-04-02 10:13:50 - GUID: eb661cb7-505a-4ab7-abb4-8698785d684b - SUCESSO
2026-04-02 10:13:50 - GUID: a7317046-c49d-4e61-835b-2f23dded1972 - SUCESSO
2026-04-02 10:13:50 - GUID: 1b99e966-1b88-4bf6-a15a-087846ca2339 - SUCESSO
2026-04-02 10:13:51 - GUID: decb098a-6db6-434e-9590-f2439f6994b7 - SUCESSO
2026-04-02 10:13:52 - GUID: 390087b5-b5cc-48f9-b29e-be23cd49df47 - SUCESSO
2026-04-02 10:13:52 - GUID: ab80c9e8-07f2-46ea-92d0-e32fda3ab48e - FALHA
2026-04-02 10:13:52 - GUID: 216db9ed-1acd-4b0c-961d-f429e1493100 - SUCESSO
2026-04-02 10:13:52 - GUID: e7ea53ca-5a51-4387-9719-c02f84feafd2 - SUCESSO
2026-04-02 10:13:52 - GUID: 7a4da49f-e374-4f2a-b3e0-27af466e1cf9 - FALHA
2026-04-02 10:14:01 - GUID: 0765a015-3e73-4c7a-b823-368e074f9a41 - FALHA
2026-04-02 10:14:01 - GUID: 55d8c9d7-c8ea-4140-8e03-0fb8486ca603 - FALHA
2026-04-02 10:14:01 - GUID: 898c89be-6ef0-4d68-bbd2-72e03cb405df - FALHA
2026-04-02 10:14:01 - GUID: e3ddb823-bab9-4a3d-92db-a9729c694a30 - FALHA
